COMPANY,TYPE,INDUSTRY,EVALUATION,CURRENCY,AV SYMBOL,CODE ,LINK
AUSTINDO NUSANTARA JAYA ,Public,Commodities,,idr,ANJT.JKT,IDX: ANJT,https://www.google.com/search?tbm=fin&ei=Tu1DXdK2Dszc6ATfkYe4DA&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZPKzYzTU5KNeADp55pLPQAAAA&q=IDX:+ANJT&oq=AUSTINDO+NUSANTARA+JAYA&gs_l=finance-immersive.1.0.81.24029.24029.0.25204.1.1.0.0.0.0.65.65.1.1.0....0...1c.2.64.finance-immersive..0.1.65....0.T1IlGeraS7k#scso=_oplaXfW8D-6xrgTl5LqIBw10:0
Barry Callebaut ,Public,Commodities,,chf,BARN.SWI,SWX: BARN,https://www.google.com/search?tbm=fin&ei=aO1DXYHaDumImwXSlJ_wBg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkjNSKgvMeADSdfwvOgAAAA&q=SWX:+BARN&oq=barry+callebaut&gs_l=finance-immersive.1.0.81.24943.24943.0.25678.1.1.0.0.0.0.70.70.1.1.0....0...1c.2.64.finance-immersive..0.1.70....0.FsiQMFowHV0#scso=_tZlaXY7kDqf2qwGgrIiACw6:0
BUMITAMA ,Public,Commodities,,sgd,P8Z.SGP,SGX: P8Z,"https://www.google.com/search?tbm=fin&ei=gu1DXezgMJKBk74PrPG-kAc&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNDY0qk-PTDQx4AHh2yFI8AAAA&q=SGX:+P8Z&oq=bumitama&gs_l=finance-immersive.1.0.81l2.21634.22496.0.23759.8.8.0.0.0.0.71.500.8.8.0....0...1c.1.64.finance-immersive..0.8.499....0.LrQdDaM-dkA#scso=_m-1DXZO2H9WJk74P9vaC-Ag10:0,_3JlaXYXpIu_FrgTT2L_ACw10:0"
Bunge ,Public,Commodities,,usd,BG,NYSE: BG,https://www.google.com/search?tbm=fin&ei=m-1DXZO2H9WJk74P9vaC-Ag&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyKpJzeQD0rpt5OgAAAA&q=NYSE:+BG&oq=bunge&gs_l=finance-immersive.1.0.81l3.29302.29715.0.30709.5.5.0.0.0.0.148.412.4j1.5.0....0...1c.1.64.finance-immersive..0.5.412....0.fUTCgZNsZLI#scso=_7ZlaXf_qB6j1qwHtloHAAg8:0
CITRA BORNEO INDAH ,Public,Commodities,,idr,SSMS.JKT,IDX: SSMS,https://www.google.com/search?tbm=fin&ei=B_FDXcepLZKQmwWisLH4Bg&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZPKzUyTzc3NeAAQQSK-PQAAAA&q=IDX:+SSMS&oq=PT+Sawit+Sumbermas+Sarana+Tbk&gs_l=finance-immersive.1.0.81.149269.216014.0.217027.16.13.0.3.3.0.133.937.12j1.13.0....0...1c.1j2.64.finance-immersive..0.11.813...81i5k1j81i8k1.0.iSyt6EMbjM4#scso=_BJpaXdvaMZDRrgTT_JqoDw10:0
Cofco ,Public,Commodities,,hkd,1610.HKG,HKG: 1610,https://www.google.com/search?tbm=fin&ei=hfJDXbehE4zYwAL6r5LYCA&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZOLTYsLkwoqeQC4Wz0hPQAAAA&q=HKG:+1610&oq=cofco&gs_l=finance-immersive.1.0.81l3.7300.38520.0.40654.16.15.1.0.0.0.129.864.10j2.12.0....0...1c.1j2.64.finance-immersive..3.5.370.0...0.9mFpmqJrx6E#scso=_H5paXYSJIaOHrwSw_Ku4Dw10:0
ELDORADO ,Public,Commodities,,usd,EGO,NYSE: EGO,https://www.google.com/search?tbm=fin&ei=rvJDXcquJoXWwQLoypyQCA&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZOSzUyzzEuSeAB5t8jnPQAAAA&q=NYSE:+EGO&oq=eldorado&gs_l=finance-immersive.1.0.81l3.29953.283580.0.286647.25.21.4.0.0.0.88.1139.17.17.0....0...1c.1j2.64.finance-immersive..4.16.903.0...0.Ss3riySd6ds#scso=_OJpaXfXbLM2vrgSKz5mIBA8:0
FELDA/FGV ,Public,Commodities,,myr,5222.KLA,KLSE: FGV,"https://www.google.com/search?tbm=fin&ei=zvNDXcftBcvLwAK9y5yYBw&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNC83MipLiTZJ4AFiUc5E8AAAA&q=KLSE:+FGV&oq=fgv&gs_l=finance-immersive.1.0.81l2.19746.49008.0.50273.22.20.2.0.0.0.88.1003.15.15.0....0...1c.1j2.64.finance-immersive..5.11.607.0...0.DH7ssq4aXbQ#scso=_AfRDXZCbCYjEwAKE656oCA10:0,_S6FaXf-rKavqrgT1mbaQBQ10:0"
GAR ,Public,Commodities,,sgd,E5H.SGP,SGX: E5H,https://www.google.com/search?tbm=fin&ei=lvRDXavdGM7OwQLOwIewCQ&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNDY0qU7IMC415AHyVH5I8AAAA&q=SGX:+E5H&oq=GoldenResources&gs_l=finance-immersive.1.0.81i5k1l3.78402.202416.0.203825.15.12.2.1.1.0.95.797.12.12.0....0...1c.1j2.64.finance-immersive..0.11.619...81j81i8k1.0.WnzZWg6HlP0#scso=_YKJaXYitFrDprgSpopH4Cg10:0
GENTING ,Public,Commodities,,myr,4715.KLA,KLSE: GENM,"https://www.google.com/search?tbm=fin&ei=YvVDXeu_M4ikwQK31LjoCA&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZPNyg1NDJNMeAAlaZrCPQAAAA&q=KLSE:+GENM&oq=genting&gs_l=finance-immersive.1.0.81l3.24459.25056.0.27374.7.7.0.0.0.0.102.551.6j1.7.0....0...1c.1.64.finance-immersive..0.7.550....0.ODCZhFOkeBQ#scso=_f_VDXefCA4zHwAL-grTQAQ10:0,_eaJaXfGeMcr4qwG1wZSwDQ10:0"
IJM CORPORATION ,Public,Commodities,,myr,3336.KLA,KLSE: IJM,https://www.google.com/search?tbm=fin&ei=f_VDXefCA4zHwAL-grTQAQ&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNC83MKtKMy9N4ANivKKI8AAAA&q=KLSE:+IJM&oq=IJM+CORPORATION&gs_l=finance-immersive.1.0.81.41546.104516.0.105524.16.12.4.0.0.0.66.544.9.9.0....0...1c.1j2.64.finance-immersive..3.5.251.0...0.U4gR1Co-R0Y#scso=_lKJaXfG-K6_nrgTfsZfABQ10:0
IOI GROUP ,Public,Commodities,,myr,1961.KLA,KLSE: IOICORP,"https://www.google.com/search?tbm=fin&ei=AvZDXafQGMvbwQLqgamACQ&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNCyoKjbIqikt4AIvjM1A8AAAA&q=KLSE:+IOICORP&oq=ioi&gs_l=finance-immersive.1.1.81l3.93178.300625.0.303711.17.16.1.0.0.0.112.764.9j2.11.0....0...1c.1j2.64.finance-immersive..5.8.491.0...0.XWcoyp_pVoY#scso=_M_dDXavOAcTXwQLpqpXACA10:0,_qqJaXfyyHs_1qwGH0rLICA10:0"
KIMBERLY CLARK ,Public,Commodities,,usd,KMB,NYSE: KMB,"https://www.google.com/search?tbm=fin&ei=M_dDXavOAcTXwQLpqpXACA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyTIrMeQDoNen1OgAAAA&q=NYSE:+KMB&oq=KIMBERLY+CLARK&gs_l=finance-immersive.1.0.81l3.59099.59099.0.60921.1.1.0.0.0.0.65.65.1.1.0....0...1c.2.64.finance-immersive..0.1.65....0.wtZ1VZEsDH4#scso=_cPdDXe3IMsXNwQKIk7-ABg8:0,_u6JaXejKD6WJrwTalZqoBw8:0"
KLABIN ,Public,Commodities,,brl,KLBN4.SAO,BVMF: KLBN3,"https://www.google.com/search?tbm=fin&ei=kPdDXciRI4fJwQKA8o2wBw&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrMLTCuKeAACCsx3OgAAAA&q=BVMF:+KLBN3&oq=klabin&gs_l=finance-immersive.1.1.81l3.1957.2547.0.4225.6.6.0.0.0.0.72.379.6.6.0....0...1c.1.64.finance-immersive..0.6.379....0.Iurb0gOkD-M#scso=_lfdDXfDKItDEwQKVi66ACA6:0,_z6JaXaIeqOeuBLiEvYgO6:0"
KLK ,Public,Commodities,,myr,2445.KLA,KLSE: KLK,"https://www.google.com/search?tbm=fin&ei=lfdDXfDKItDEwQKVi66ACA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNCyoKikyTjU14ABKopEQ8AAAA&q=KLSE:+KLK&oq=klk&gs_l=finance-immersive.1.0.81l3.42089.43518.0.48720.7.5.2.0.0.0.167.407.4j1.5.0....0...1c.1.64.finance-immersive..0.7.409....0.E9MYttOoVWs#scso=_x_dDXaRagaXBAvqWppgG10:0,_76JaXd7VJefirgShrLSQDw10:0"
LEMBAGA TABUNG HAJI,Public,Commodities,,myr,5112.KLA,KLSE: THPLANT,"https://www.google.com/search?tbm=fin&ei=X_hDXdvfLsPbwQLthLnYCA&q=TH+PLANTATIONS+BERHAD&oq=TH+PLANTATIONS+BERHAD&gs_l=finance-immersive.3...1918.71055.0.71564.19.16.0.3.3.0.118.1051.15j1.16.0....0...1c.1j2.64.finance-immersive..0.11.751...81j81i5k1.0.mv-WDsMc6Ng#scso=_p_hDXZqUOorawQLKzpPoCA6:0,__qJaXcDKFY-HrwTyuoWADg10:0"
NOBLE ,Public,Commodities,,usd,NE,NYSE: NE,https://www.google.com/search?tbm=fin&ei=F6NaXYnoIfKIrwTSm5rwDQ&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuy4zMKeQDfV3wcOgAAAA&q=NYSE%3A+NE&oq=noble&gs_l=finance-immersive.1.0.81l3.5026.5727.0.9558.5.5.0.0.0.0.227.568.4j0j1.5.0....0...1c.1.64.finance-immersive..0.5.567....0.J6rgt6JF53M#scso=_IaNaXf2ZIuqjrgS7-63ICg8:0
NPC RESOURCES,Public,Commodities,,myr,5047.KLA,KLSE: NPC,https://www.google.com/search?tbm=fin&ei=QqNaXeaGFeuqrgTs2oOQDg&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZPNyo2KCg0KeACAnoTzPQAAAA&q=KLSE%3A+NPC&oq=NPC+RESOURCES&gs_l=finance-immersive.1.0.81.43465.43465.0.44500.1.1.0.0.0.0.107.107.0j1.1.0....0...1c.2.64.finance-immersive..0.1.107....0.qQCXHWpB2jw#scso=_b6NaXbKiMMP2qwHbl5bYCA4:0
Olam ,Public,Commodities,,sgd,O32.SGP,SGX: O32,"https://www.google.com/search?tbm=fin&ei=QvpDXcTQKsPJwALz3pPIBw&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNjCpyzA1yeACbyf3SOgAAAA&q=SGX:+O32&oq=olam&gs_l=finance-immersive.1.0.81l3.5122.43057.0.44935.7.7.0.0.0.0.76.262.4.4.0....0...1c.1.64.finance-immersive..3.4.262.0...0.jHVb7KcGc6E#scso=_cPpDXcGSD43MwAKh0IrgBg10:0,_faNaXcvRE-PkrgTgkYO4CA10:0"
POSCO DAEWOO ,Public,Commodities,,krw,047050.KOR,KRX: 047050,"https://www.google.com/search?q=POSCO+DAEWOO&tbm=fin#scso=_rftDXYzJKYrJwAKqkarYCA6:0,_kaNaXeqCDKbMrgTb0bxQ6:0"
SALIM ,Public,Commodities,,idr,SIMP.JKT,IDX: SIMP,"https://www.google.com/search?q=IDX:+SIMP&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNq4xLkqpKKix5AG1m6Iw8AAAA&tbm=fin#scso=_C_1DXd-7CYfIwQLgxJv4Bg10:0,_rKNaXaGNDu_IrgSQh5yICA10:0"
Sime Darby ,Public,Commodities,,myr,4197.KLA,KLSE: SIME,"https://www.google.com/search?tbm=fin&ei=C_1DXd-7CYfIwQLgxJv4Bg&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNq4xLkuIzKsp5ALVM_PE8AAAA&q=KLSE:+SIME&oq=Sime+Darby&gs_l=finance-immersive.1.0.81l3.79633.348157.0.349648.24.21.3.0.0.0.106.946.14j1.15.0....0...1c.1j2.64.finance-immersive..6.8.383.0...0.vigQ-fPzF3c#scso=_af5DXZzHIo_XwALjx5DwCA10:0,_uqNaXeW2F8v6qwHZ_pzgBA10:0"
SUNGAI BUDI GROUP ,Public,Commodities,,idr,TBLA.JKT,IDX: TBLA,"https://www.google.com/search?tbm=fin&ei=af5DXZzHIo_XwALjx5DwCA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNq4xLkuJzs4x4ANlwjlQ8AAAA&q=IDX:+TBLA&oq=idx:tbla&gs_l=finance-immersive.1.0.81i8k1.23552.157168.0.158426.19.19.0.0.0.0.70.883.15.15.0....0...1c.1j2.64.finance-immersive..4.12.705.0..81j81i5k1.0.kvngiXFwaOE#scso=_CP9DXZDWLITQwQLfiJ3ABg10:0,_zaNaXZr7BPuHwPAPyfCgqAY10:0"
SUZANO ,Public,Commodities,,brl,SUZB3.SAO,BVMF: SUZB3,"https://www.google.com/search?tbm=fin&ei=k_RDXd_NCY7UwQKso6_oCA&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDdPiC4wyzEuyeQCVOJr5PQAAAA&q=BVMF:+SUZB3&oq=suzano&gs_l=finance-immersive.1.0.81l2.736.1494.0.2560.6.6.0.0.0.0.70.302.5.5.0....0...1c.1.64.finance-immersive..1.5.301....0.pEIsz8G9SxU#scso=_lvRDXavdGM7OwQLOwIewCQ6:0,_36NaXaLSDcCIwPAPlJ-sgA86:0"
Wilmar ,Public,Commodities,,sgd,F34.SGP,SGX: F34,https://www.google.com/search?tbm=fin&ei=P_9DXejXEYvPwALekomoCA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNDY0qU8yr8vJ4AG6G5gY8AAAA&q=SGX:+F34&oq=Wilmar&gs_l=finance-immersive.1.0.81l3.18749.18749.0.20074.1.1.0.0.0.0.63.63.1.1.0....0...1c.2.64.finance-immersive..0.1.63....0.f7je2UJgazk#scso=_9KNaXZKbGqaHrwTIjqeYAw10:0
JBS ,Public,Meat Producers,,brl,JBSS3.SAO,BVMF: JBSS3,"https://www.google.com/search?tbm=fin&ei=ev9DXbj8E9HUwQLl7pPoCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrMr87JyeAARqDOtOgAAAA&q=BVMF:+JBSS3&oq=jbs&gs_l=finance-immersive.1.0.81l3.78780.121729.0.123295.18.14.0.4.4.0.135.955.9j3.12.0....0...1c.1j2.64.finance-immersive..2.8.600.0..81i5k1.0.VwXYjGsKvt4#scso=_9v9DXa6sIojVwALj_L24Bw6:0,_CKRaXaXgF4zorgSJxafADA6:0"
Marfrig ,Public,Meat Producers,,brl,MRFG3.SAO,BVMF: MRFG3,"https://www.google.com/search?tbm=fin&ei=9v9DXa6sIojVwALj_L24Bw&q=Marfrig&oq=Marfrig&gs_l=finance-immersive.3..81l2.26495.26495.0.26814.1.1.0.0.0.0.62.62.1.1.0....0...1c.2.64.finance-immersive..0.1.62....0.LIn2pliIRFE#scso=_EwBEXfHvEZDLwAKnsY-YBw6:0,_IaRaXZnpNvLLrgSL-azgBw6:0"
Minerva ,Public,Meat Producers,,brl,BEEF3.SAO,BVMF: BEEF3,"https://www.google.com/search?tbm=fin&ei=LABEXciPH4GmwQLVmavoCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrNTLEqKeAD5GtwZOgAAAA&q=BVMF:+BEEF3&oq=minerva&gs_l=finance-immersive.1.1.81l3.2003.2946.0.5370.7.7.0.0.0.0.93.455.7.7.0....0...1c.1.64.finance-immersive..0.7.451....0.OrceZhxh44o#scso=_MgBEXbLuL4LDwAL4zrHQCQ6:0,_QaRaXdT7KoeprgS356KABQ6:0"
Tyson ,Public,Meat Producers,,usd,TSN,NYSE: TSN,"https://www.google.com/search?tbm=fin&ei=MgBEXbLuL4LDwAL4zrHQCQ&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuyizPKeACe0dm5OgAAAA&q=NYSE:+TSN&oq=Tyson&gs_l=finance-immersive.1.0.81l2.50224.89516.0.90842.13.10.1.2.2.0.70.454.7.7.0....0...1c.1j2.64.finance-immersive..3.5.336.0...0.AvRE2LFR2RI#scso=_jgBEXYCEGtHfwQKZhq6oCA8:0,_VKRaXarIGOakrgT474CQBA8:0"
